NBA Draft Combine – Strength & Agility Statistics by Position (2014–Present),,,,,,,,,,,,,,
Position,Metric,N,Mean,Median,SD ?2,SD ?1,SD +1,SD +2,,Very Low,Low,Average,High,Very High
SG-SF,Shuttle Run (sec),26,3.14,3.16,2.91,3.02,3.25,3.37,,"Very High
< 2.91","High
2.91 – 3.02","Average
3.02 – 3.25","Low
3.25 – 3.37","Very Low
? 3.37"
SG-SF,3/4 Court Sprint (sec),27,3.26,3.26,2.99,3.13,3.39,3.53,,"Very High
< 2.99","High
2.99 – 3.13","Average
3.13 – 3.39","Low
3.39 – 3.53","Very Low
? 3.53"
SG-SF,Standing Vertical Leap (in),27,29.44,29.50,24.42,26.93,31.96,34.47,,"Very Low
< 24.42","Low
24.42 – 26.93","Average
26.93 – 31.96","High
31.96 – 34.47","Very High
? 34.47"
SG-SF,Max Vertical Leap (in),27,35.50,36.00,29.66,32.58,38.42,41.34,,"Very Low
< 29.66","Low
29.66 – 32.58","Average
32.58 – 38.42","High
38.42 – 41.34","Very High
? 41.34"
SG-SF,Max Bench Press (reps),7,6.43,7.00,-0.77,2.83,10.03,13.63,,"Very Low
< -0.77","Low
-0.77 – 2.83","Average
2.83 – 10.03","High
10.03 – 13.63","Very High
? 13.63"
SF-SG,Lane Agility Time (sec),10,10.89,10.95,10.37,10.63,11.15,11.40,,"Very High
< 10.37","High
10.37 – 10.63","Average
10.63 – 11.15","Low
11.15 – 11.40","Very Low
? 11.40"
SF-SG,Shuttle Run (sec),10,3.06,3.08,2.75,2.90,3.22,3.37,,"Very High
< 2.75","High
2.75 – 2.90","Average
2.90 – 3.22","Low
3.22 – 3.37","Very Low
? 3.37"
SF-SG,3/4 Court Sprint (sec),10,3.21,3.24,3.03,3.12,3.30,3.39,,"Very High
< 3.03","High
3.03 – 3.12","Average
3.12 – 3.30","Low
3.30 – 3.39","Very Low
? 3.39"
SF-SG,Standing Vertical Leap (in),10,32.05,32.00,24.91,28.48,35.62,39.19,,"Very Low
< 24.91","Low
24.91 – 28.48","Average
28.48 – 35.62","High
35.62 – 39.19","Very High
? 39.19"
SF-SG,Max Vertical Leap (in),10,38.65,39.50,32.61,35.63,41.67,44.69,,"Very Low
< 32.61","Low
32.61 – 35.63","Average
35.63 – 41.67","High
41.67 – 44.69","Very High
? 44.69"
